model,horizon,split,Coverage_80%,CRPS
LightGBM (Raw),7,validation,0.70625,118.12541465135888
LightGBM (Calibrated),7,validation,0.8010416666666667,117.25244365396763
LightGBM (Raw),7,test,0.7357594936708861,80.99394689712955
LightGBM (Calibrated),7,test,0.8583860759493671,81.08839561287091
LightGBM (Raw),14,validation,0.7255208333333333,125.07745538039012
LightGBM (Calibrated),14,validation,0.8010416666666667,124.68810239072582
LightGBM (Raw),14,test,0.7492088607594937,78.36149585783795
LightGBM (Calibrated),14,test,0.8330696202531646,78.30948360243293
LightGBM (Raw),28,validation,0.7255208333333333,127.62700855513846
LightGBM (Calibrated),28,validation,0.8010416666666667,127.0449565050147
LightGBM (Raw),28,test,0.7349683544303798,88.56240055846592
LightGBM (Calibrated),28,test,0.8291139240506329,88.34180163590385
